,questions,answers,labels,confidence,labels_by_rougeL,max_rouge_score,s1,s2
0,"Why is the ""Black Death"" mentioned so often in western history but not Chinese history even though it originated there?","The Black Death is a very famous event in European history. It was a major factor in the rise of the nation-states of Europe. It's not like that in China. The plague didn't have a major impact on the political landscape of China. The plague didn't even make it to China. It was in Europe, and it's not like that in Asia. The plague didn't have a major impact on the political landscape of China. The plague didn't even make it to China.  If you're interested in reading more about the Black Death, I recommend the book *The Plague* by Robin Brooks. It's a great read, and it's very well written.",0,1.0,0,1.0,The plague didn't have a major impact on the political landscape of China,The plague didn't have a major impact on the political landscape of China
1,How historically accurate is the show The Last Kingdom on Netflix?,"I've watched the first season of the show and I'm not sure if you are asking for historical accuracy, but I would say that it is mostly accurate, except for the characters. I am not sure if you are asking for accuracy in terms of the setting, but I am sure that the show is mostly accurate in terms of the setting. The show is set in the 9th century, and the show's setting is the 9th century, so it is accurate. The show is set in a very similar time period to the Viking Age, so it is accurate in terms of clothing, weapons, and the like. However, the show is set in a very different time period than the Viking Age, and so it is not accurate in terms of politics, religion, and culture. I'm not sure if you are asking for accuracy in terms of the characters, but I would say that the show is mostly accurate. The characters are mostly based on historical figures, but I don't know if they are accurate.",0,1.0,0,0.867,I am not sure if you are asking for accuracy in terms of the setting,I'm not sure if you are asking for accuracy in terms of the characters
2,"If there was a lack of food supply in the world, could we survive of of just vitamins and a high concentration of calories? Or do we HAVE to eat in order to live?","There's a lot of food out there. You just need to have a good supply of it.  I know it sounds crazy, but I've seen people survive on very little food and still have a good supply of it. The problem is, you have to have a good supply of food to begin with. You can't just go out and find a good supply of food. You need to have a good supply of food before you can go out and find it.  You need to have a good supply of food before you can eat it. You need to have a good supply of food before you can find it.  You need to have a good supply of food before you can eat it.  You need to have a good supply of food before you can find it.  You need to have a good supply of food before you can eat it.  You need to have a good supply of food before you can find it.  You need to have a good supply of food before you can eat it.  You need to have a good supply of food before you can find it.  You need to have a good supply of food before you can eat it.",0,1.0,0,1.0,You need to have a good supply of food before you can eat it,You need to have a good supply of food before you can eat it
3,"If our DNA varies from person to person, how do we know how closely human DNA resembles that of orangutans?","Humans have 23 pairs of chromosomes, and each pair has 2 genes. Each gene has 2 alleles, which are the two versions of the gene. Humans have 23 pairs of chromosomes, and each pair has 2 genes, and each gene has 2 alleles. The alleles are called *alleles* because they are not the same, but the same type of allele is called a *allele* and the *alleles* themselves are called *alleles*. In humans, there are 23 pairs of chromosomes, and each pair has 2 genes, and each gene has 2 alleles. So, the human chromosome has 46 *alleles*. The orangutan has 23 pairs of chromosomes, and each pair has 2 genes, and each gene has 2 alleles. So, the orangutan chromosome has 46 *alleles*.  So, when we look at the human chromosome, we can see that it has 46 *alleles*, and when we look at the orangutan chromosome, we can see that it has 46 *alleles*. This means that the orangutan chromosome is 46% similar to the human chromosome, and the human chromosome is 46% similar to the orangutan chromosome.",0,1.0,0,1.0,Humans have 23 pairs of chromosomes,Humans have 23 pairs of chromosomes
4,"Why would a company spend millions on a long Superbowl commercial, only to leak it online a week before the Superbowl?","If you want to get a lot of attention, you want to get people talking about your product. If you want to get a lot of attention, you want to get people talking about your product and your company. You can get a lot of attention by having a big event happen. You can get a lot of attention by having a big event happen and having it happen in a very specific location. You can get a lot of attention by having a big event happen in a very specific location and having it happen in a very specific location. In short, you can get a lot of attention by having a big event happen in a very specific location, or you can have a big event happen in a very specific location and then having it happen in a very specific location. The way it works is that you want to get attention in a very specific location, and then you want to get attention in a very specific location.",0,1.0,0,1.0,If you want to get a lot of attention,If you want to get a lot of attention
5,Question about Popes and alliances in 1500's Europe...,"The Pope is the head of the Catholic Church, and as such is the head of the Catholic Church in Europe. He is not a political leader in the way that a king is. His power is more symbolic. His power is the power of the Church. He is the Pope, and he has a lot of influence over the Catholic Church. He is the Pope, and he has a lot of influence over the European monarchs. The Pope is not a political leader, and the Pope is not a monarch. The Pope is the Pope.  So, the Pope is not really in a position to make alliances with monarchs. The Pope is not a political leader, and the Pope is not a monarch. The Pope is the Pope.  He is not a political leader, and he is not a monarch. He is the Pope.",0,1.0,0,1.0,He is the Pope,He is the Pope
6,"[20th Century Russia] I'm about done with my first read of ""War and Peace"", and I'm curious how the book was regarded by the Soviets.","It was a huge hit, especially in the first half of the 20th century. The Soviet Union was still a relatively new entity at that time, and it was very popular among the Soviet people. The book was also a huge success in the West, where it was translated into a number of languages, and it was published in many different countries. It's also notable for being the first Russian novel to be translated into English. It's also notable for being the first novel to be translated into English that was written by a Russian. It was also translated into many other languages, and it was translated into the French, German, Italian, and many other languages. It was also translated into many different languages, including Chinese, which is an official language of the Chinese government. It was also translated into many different languages, including Arabic, and it was translated into the Hebrew. It was also translated into many different languages, including Welsh, and it was translated into the Icelandic. It was also translated into many different languages, including the Danish, and it was translated into the Swedish. It was also translated into many different languages, including the Finnish, and it was translated into the Norwegian. It was also translated into many different languages, including the Dutch, and it was translated into the Polish. It was also translated into many different languages, including the Swedish, and it was translated into the Swedish. It was also translated into many different languages, including the Finnish, and it was translated into the Norwegian. It was also translated into many different languages, including the Swedish, and it was translated into the Swedish. It was also translated into many different languages, including the Finnish, and it was translated into the Norwegian. It was also translated into many different languages, including the Swedish, and it was translated into the Swedish. It was also translated into many different languages, including the Swedish.",0,1.0,0,1.0,It was also translated into many different languages,It was also translated into many different languages
7,Why are advertisements for colognes and perfumes so strange?,"I have a theory. Perfumes are expensive, and you are going to want to buy a lot of them. So you want to buy the most expensive one. That's why you see them in a lot of ads. You want to buy a lot of them, so you want to show them off.  Also, perfumes are very strong, so you want to be able to smell them from a distance. So you want to show them off from a distance.  I think the other reason is that perfume ads are often very expensive to make. You want to show off how expensive they are, so you want to put them in an expensive setting.  I don't know the full story, but I think these are the main reasons.",0,1.0,0,0.824,so you want to show them off,So you want to show them off from a distance
8,"Friday Free-for-All | April 07, 2017","I am an English major and I am currently studying for my Master's degree in English Literature. I have been working for a few years as a freelance editor and I am now looking to move into a more stable position. I am hoping to find a position that will allow me to continue working with English literature, but also give me the opportunity to work with other types of texts as well. I am interested in the field of American Literature, and I have been working with American literature for a few years now. I am hoping to find a position that will allow me to work with American Literature, but also give me the opportunity to work with other types of texts. I am also interested in the field of American Literature, and I have been working with American Literature for a few years now. I am hoping to find a position that will allow me to work with American Literature, but also give me the opportunity to work with other types of texts. I am also interested in the field of American Literature, and I have been working with American Literature for a few years now. I am hoping to find a position that will allow me to work with American Literature, but also give me the opportunity to work with other types of texts. I am also interested in the field of American Literature, and I have been working with American Literature for a few years now. I am hoping to find a position that will allow me to work with American Literature, but also give me the opportunity to work with other types of texts. I am also interested in the field of American Literature, and I have been working with American Literature for a few years now. I am hoping to find a position that will allow me to work with American Literature, but also give me the opportunity to work with other types of texts. I am also interested in the field of American Literature, and I have been working with American Literature for a few years now. I am hoping to find a position that will allow me to work with American Literature, but also give me the opportunity to work with other types of texts. I am also interested in the field of American Literature, and I have been working with American Literature for a few years now. I am hoping to find a position that will allow me to work with American Literature, but also give me the opportunity to work with other types of texts. I am also interested in the field of American Literature, and I have been working with American Literature for a few years now.",0,1.0,0,1.0,and I have been working with American literature for a few years now,and I have been working with American Literature for a few years now
9,Do lie detectors work?,"The lie detector works by measuring changes in your heart rate, blood pressure, and other physiological responses to stress. It's been shown to be fairly accurate, but it's not perfect. It's also been shown to be unreliable in certain situations, such as when you're lying about something that is not relevant to the test. If you're lying about something that is relevant, it's possible that your lie detector will show you as telling the truth, but this is not necessarily the case.  It's also worth noting that the lie detector is not a reliable method of determining whether someone is lying. It's not a reliable method of determining whether someone is telling the truth, and it's not a reliable method of determining whether someone is lying about something that is not relevant to the test.",0,0.999,0,0.667,such as when you're lying about something that is not relevant to the test,If you're lying about something that is relevant
